Name,C,254	Shape_Leng,N,19,11	Shape_Area,N,19,11	X_Cent,N,19,11	Y_Cent,N,19,11
35SPA4	2,01533488827	0,251007716	28,9507364278	36,3539845983
35SPB1	2,0355624716	0,25556487	28,4186285744	37,7135151998
35SPB2	2,02884262059	0,2540556327	28,410124676	37,2629678989
35SPB3	2,03506810662	0,255440882	28,9856401566	37,7053333941
35SPB4	2,02834919909	0,2539321418	28,9737475021	37,2549220867
35SPC1	2,04945280662	0,25868404385	28,4362150901	38,6144886914
35SPC2	2,04243219552	0,2571076303	28,4273211853	38,164021471
35SPC3	2,0489673271	0,2585613523	29,0102405418	38,6060422211
35SPC4	2,04194702747	0,2569859555	28,9978046406	38,1557068897
35SPD1	2,0640143718	0,26195458275	28,4546053799	39,5153223545
35SPD2	2,05667349114	0,2603071801	28,4453097	39,064924309
35SPD3	2,06351921501	0,2618289607	29,0359647127	39,506601213
35SPD4	2,05616791832	0,2601789654	29,0229607411	39,0563390778
35SPE2	2,07154654753	0,2636460131	28,4641137566	39,9656832088
35SPE4	2,07103252061	0,2635144184	29,0492643857	39,9568217501
35SQA1	2,0211423681	0,2522984376	29,5221618586	36,7939152008
35SQA2	2,01446634533	0,250798552823	29,5156975105	36,3259536951
35SQA3	1,69441419278	0,1786956286	30	36,7838221123
35SQA4	1,75919876253	0,193285760724	30,0080306863	36,3159024547
35SQB1	2,36406475095	0,3295128401	29,6326036471	37,6918728724
35SQB2	2,02770132653	0,25377045105	29,5371050695	37,2441927704
35SQB4	1,62798441972	0,1637366554	30	37,2340057466
35SQC1	2,30777952297	0,31681946275	29,6465677011	38,5926007719
35SQC2	2,3362521085	0,32324205615	29,639507247	38,1422542129
35SQD1	2,24894173228	0,30355585471	29,6632107138	39,49293885
35SQD2	2,27869430142	0,310263705608	29,6558165983	39,0426551222
35SQE2	2,21851178838	0,2966962574	29,668718031	39,9434426721
35TLE3	2,07923839034	0,2653724962	25,5261610933	40,4160049343
35TME1	2,07960016495	0,26546459825	26,1154117902	40,4220064259
35TME3	2,07976098722	0,26550650145	26,7047967926	40,4250063951
35TMF1	2,09554023112	0,26904386985	26,1033203211	41,3227306907
35TMF2	2,08747515136	0,2672329837	26,1094372422	40,8723868674
35TMF3	2,09571277472	0,269088001	26,7007486771	41,325826589
35TMF4	2,08765197395	0,267278629	26,7027937073	40,8754349559
35TMG2	2,10380532724	0,27090026905	26,0970702239	41,7730422822
35TMG3	2,11240475596	0,272835707	26,6965173489	42,22651066
35TMG4	2,10398380187	0,27094662945	26,6986566927	41,7761875611
35TNE1	2,07976098722	0,26550650145	27,2952032074	40,4250063951
35TNE3	2,07960016495	0,26546459825	27,8845882098	40,4220064259
35TNF1	2,09571277472	0,269088001	27,2992513229	41,325826589
35TNF2	2,08765197395	0,267278629	27,2972062927	40,8754349559
35TNF3	2,09554023112	0,26904386985	27,8966796789	41,3227306907
35TNF4	2,08747515136	0,2672329837	27,8905627578	40,8723868674
